start	end	text
0	3040	انظروا إلى كيف أصبح سوربريم من أن تكون قطار صغير
3040	6640	إلى أن تصبح شركة عالمية قيمة على أكثر من بليون دولار.
6640	9840	لا يجب أن يجروا أشياء فقط، يجروا أسلوبة.
9840	13600	من لغة الراهب إلى أسلوبات محددة التي تؤدي إلى أسلوبات عالمية.
13600	15760	لقد قموا بإضافة روحاً على المنطقة
15760	18960	بإضافة عقلية ومخلوقاتها إلى أسلوباتهم.
18960	21040	تشاركاتهم غير مستحيلة.
21040	22640	تشاركاتهم غريبة.
22640	24240	تشاركاتهم مستحيلة.
24640	27680	سوربريم أولاً هو أسلوبة قيمة عالمية
27680	28960	ثم أسلوبة.
28960	30640	لا يتعلق بإصلاحها.
30640	32800	يتعلق بإيجاد عائلة.
32800	35200	النهاية لا تكون لكل شخص.
35200	36400	تكون لأحد.
